City Id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country,Hotel Name
2331447,Maiduguri,11.8464,13.1603,307.02,12,19,3.15,1653079748,NG,Lake Chad Hotel
2412408,Nioro,13.35,-15.75,301.16,53,28,6.37,1653079749,GM,Tendaba camp
3397967,Itaituba,-4.2761,-55.9836,305.24,48,20,2.06,1653079752,BR,Hotel piaui
5110365,Broome,42.2506,-75.833,299.36,50,20,6.69,1653079752,US,Water's Edge Bed & Breakfast
1649150,Bengkulu,-3.8004,102.2655,297.55,87,82,1.76,1653079753,ID,Dena Hotel
2178753,Kirakira,-10.4544,161.9205,300.44,80,24,1.53,1653079755,SB,No Hotel nearby
1337610,Thinadhoo,0.5333,72.9333,301.65,73,73,4.32,1653079756,MV,UMET Stay
2248777,Marsassoum,12.8275,-15.9806,301.2,60,14,5.92,1653079759,SN,Hôtel Palmier
3445026,Vila Velha,-20.3297,-40.2925,296.12,60,0,5.66,1653079644,BR,Hotel Prainha
2240449,Luanda,-8.8368,13.2343,296.15,83,75,4.63,1653079636,AO,Hotel Fórum
88533,Awjilah,29.1081,21.2869,294.41,31,0,9.16,1653079762,LY,Awjilah Tourist Hotel
2090021,Namatanai,-3.6667,152.4333,299.92,81,37,2.7,1653079763,PG,Namatanai Hotel
1256369,Sidhi,24.4167,81.8833,306.05,16,68,1.23,1653079764,IN,Hotel Ganga Palace
3388847,São Félix do Xingu,-6.6447,-51.995,297.59,74,46,0.66,1653079765,BR,Terraço Hotel
4362001,Mayo,38.8876,-76.5119,306.58,72,20,4.63,1653079767,US,Inn at Horn Point
1106677,Bambous Virieux,-20.3428,57.7575,297.71,83,40,3.6,1653079768,MU,La Hacienda Hotel
1258492,Rangia,26.4667,91.6333,297.12,92,42,4.24,1653079769,IN,SPOT ON 64700 Hotel Shubham
3393692,Itarema,-2.9248,-39.9167,298.97,85,100,2.98,1653079769,BR,Hotel Paraiso Do Sol De Itarema.
1337607,Kudahuvadhoo,2.6708,72.8944,301.64,76,23,5.44,1653079831,MV,FEENI
2258378,Loandjili,-4.7561,11.8578,298.32,81,80,4.13,1653079832,CG,Le Raphia Guest House
64814,Bandarbeyla,9.4942,50.8122,300.05,85,100,9.63,1653079833,SO,JABIR HOTEL
2063039,Port Keats,-14.25,129.55,295.92,56,5,3.66,1653079834,AU,TDC Village (Hundred Man Camp)
3389822,Salinópolis,-0.6136,-47.3561,297.93,88,100,4.39,1653079835,BR,Hotel Salinópolis
3664980,Boa Vista,2.8197,-60.6733,302.14,70,40,2.57,1653079614,BR,Aipana Plaza Hotel
1213855,Sibolga,1.7427,98.7792,298.31,89,76,1.22,1653079836,ID,Hotel Pasar Baru
197745,Garissa,-0.4536,39.6401,298.14,78,100,8.16,1653079837,KE,Hiddig Hotel
7803723,Omemee,44.299,-78.5599,298.75,63,40,7.2,1653079838,CA,Lancaster Cottage & Trailer Resort
2446796,Bilma,18.6853,12.9164,305.99,13,70,3.75,1653079839,NE,No Hotel nearby
187968,Malindi,-3.2175,40.1191,299.24,82,65,5.87,1653079840,KE,Simba Hotel
934479,Grand Gaube,-20.0064,57.6608,297.8,69,12,3.13,1653079840,MU,LUX Grand Gaube
5282297,Bethel,41.3712,-73.414,296.62,68,20,5.66,1653079842,US,Hampton Inn Danbury
204953,Tshikapa,-6.4167,20.8,298.96,56,100,0.17,1653079842,CD,Tatem beach
5859699,College,64.8569,-147.8028,294.82,34,20,1.54,1653079750,US,Best Western Plus Pioneer Park Inn
2108502,Honiara,-9.4333,159.95,299.64,80,2,1.05,1653079819,SB,Hibiscus Apartments
4339348,Ruston,32.5232,-92.6379,306.05,46,40,5.66,1653079788,US,Lewis House-Victorian B & B
211647,Lodja,-3.4833,23.4333,296.25,80,100,1.42,1653079848,CD,SANDO HOTEL
1722803,Buluang,13.3068,123.3425,298.61,89,99,1.19,1653079849,PH,Regal Plaza Hotel
3382160,Cayenne,4.9333,-52.3333,297.17,1,99,1.03,1653079850,GF,HOTEL KER ALBERTE
347634,Ţahţā,26.7693,31.5021,303.04,20,100,6.85,1653079850,EG,حسن غلاب
2094342,Kavieng,-2.5744,150.7967,300.92,78,93,4.85,1653079913,PG,Kavieng Transit Haus
