City Id,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Date
3381538,Grand-Santi,4.25,-54.3833,296.65,99,100,0.52,1653079596
4031742,Egvekinot,66.3167,-179.1667,276.68,70,74,1.14,1653079451
1730622,Anito,12.4497,125.2886,298.26,91,100,2.36,1653079596
5563839,Fortuna,40.5982,-124.1573,292.51,62,20,9.26,1653079597
2034221,Wangqing,43.3218,129.7634,286.18,77,47,1.57,1653079597
3874787,Punta Arenas,-53.15,-70.9167,279.21,87,100,2.06,1653079310
1633419,Padang,-0.9492,100.3543,298.12,87,34,1.37,1653079598
4845585,Westport,41.1415,-73.3579,293.95,82,40,6.17,1653079598
5905393,Bonavista,48.6499,-53.1147,279.46,73,100,2.54,1653079598
3985710,Cabo San Lucas,22.8909,-109.9124,302.93,58,1,6.93,1653079333
2610343,Vestmanna,62.1564,-7.1664,281.66,100,100,5.66,1653079599
2268339,Faro,37.0194,-7.9322,299.03,47,0,9.26,1653079599
2264557,Ponta do Sol,32.6667,-17.1,293.55,83,56,0.85,1653079600
2455216,Kita,13.0349,-9.4895,307.81,25,80,1.71,1653079600
2260401,Djambala,-2.5447,14.7533,293.64,95,100,2.34,1653079601
935214,Saint-Pierre,-21.3393,55.4781,296.43,73,75,3.09,1653079601
230893,Kitgum,3.2783,32.8867,293.33,89,100,1.7,1653079601
469991,Vysotskoye,45.025,42.9064,282.52,84,20,8.03,1653079602
509850,Petrovskoye,57.0104,39.2693,274.66,78,2,1.82,1653079602
1282256,Hithadhoo,-0.6,73.0833,301.46,73,65,4.12,1653079603
6255012,Flinders,-34.5833,150.8552,286.58,92,96,1.79,1653079603
1736660,Kota Belud,6.351,116.4305,298.14,88,81,2.38,1653079604
5114900,Depew,42.904,-78.6923,297.1,67,75,6.17,1653079604
102527,Sakakah,29.9697,40.2064,303.91,19,31,4.1,1653079605
2171085,Coffs Harbour,-30.3,153.1333,288.13,94,75,6.17,1653079665
3831208,Qaanaaq,77.484,-69.3632,265.07,81,16,1.26,1653079665
1263257,Māyakonda,14.2833,76.0833,293.19,86,100,3.81,1653079666
1721720,Cabatuan,10.8794,122.486,298.03,90,100,1.84,1653079666
1636308,Manokwari,-0.8667,134.0833,298.64,81,17,1.3,1653079666
2425791,Kibala,9.1104,18.3463,298.12,69,20,2.06,1653079667
3470137,Belmonte,-15.8631,-38.8828,294.59,59,60,4.02,1653079667
3448455,São Miguel do Araguaia,-13.275,-50.1628,293.34,32,100,1.28,1653079668
3922125,Capinota,-17.7167,-66.2333,299.82,11,8,2.13,1653079668
1492607,Severnoye,56.3491,78.3619,281.1,89,88,3.17,1653079668
5431716,Montrose,38.4166,-108.2673,271.82,71,100,3.37,1653079045
2012956,Yerbogachën,61.2767,108.0108,280.67,80,100,1.54,1653079669
1215502,Banda Aceh,5.5577,95.3222,300.03,80,100,4.6,1653079669
5554428,Ketchikan,55.3422,-131.6461,288.41,58,0,5.14,1653079670
5970234,Hanna,51.6334,-111.9018,280.29,49,100,6.26,1653079670
556268,Ostrovnoy,68.0531,39.5131,272.73,66,98,2.94,1653079670
210379,Lusambo,-4.9667,23.45,298.05,61,100,0.54,1653079671
2338242,Ikom,5.9667,8.7063,297.93,93,100,1.34,1653079671
2194098,Ahipara,-35.1667,173.1667,288.05,63,99,6.05,1653079672
4513583,Hamilton,39.1834,-84.5333,304.94,52,0,9.26,1653079501
483650,Temyasovo,52.9933,58.1014,274.02,99,100,5.67,1653079672
2155415,New Norfolk,-42.7826,147.0587,277.87,87,10,1.08,1653079673
3155152,Gravdal,68.1214,13.5031,280.09,100,100,2.57,1653079673
3892454,Diego de Almagro,-26.3667,-70.05,296.03,20,15,3.62,1653079673
2170581,Coolum Beach,-26.5333,153.1,290.0,98,100,5.62,1653079674
3372472,Vila Franca do Campo,37.7167,-25.4333,290.38,81,93,2.26,1653079674
1274822,Chāmpua,22.0833,85.6667,300.57,73,16,4.34,1653079675
2157698,Mildura,-34.2,142.15,280.97,84,73,5.39,1653079675
2070998,Geraldton,-28.7667,114.6,285.38,94,40,4.63,1653079675
6254930,Palestine,31.9216,35.2033,294.78,34,76,2.4,1653079676
1808392,Hengshui,37.7322,115.7011,291.73,51,0,2.84,1653079676
2126199,Cherskiy,68.75,161.3,283.79,50,8,7.26,1653079677
3146487,Raudeberg,61.9875,5.1352,283.52,94,100,1.72,1653079677
3450083,Santa Maria,-29.6842,-53.8069,289.76,59,20,1.54,1653079631
3372760,Praia da Vitória,38.7333,-27.0667,292.29,82,20,2.97,1653079678
149129,Ushirombo,-3.4919,31.9639,292.26,63,100,1.13,1653079678
1517637,Ushtobe,45.2514,77.9838,293.45,38,99,6.2,1653079678
1177446,Gwadar,25.1216,62.3254,301.38,88,0,3.17,1653079423
362973,Abnūb,27.2696,31.1511,301.27,39,98,9.59,1653079679
2138555,Poum,-20.2333,164.0167,298.46,83,0,4.75,1653079679
5847411,Kahului,20.8947,-156.47,302.16,68,40,6.69,1653079680
2022572,Khatanga,71.9667,102.5,272.69,83,100,4.56,1653079680
5367788,Lompoc,34.6391,-120.4579,296.92,60,0,7.72,1653079681
1728675,Balabac,7.9868,117.0645,300.16,82,84,3.9,1653079681
3654541,Macas,-2.3167,-78.1167,296.01,78,75,3.09,1653079681
527012,Mikhaylovka,50.06,43.2379,281.32,75,32,2.95,1653079682
86049,Jalu,29.0331,21.5482,294.3,31,0,9.35,1653079682
5380437,Pacific Grove,36.6177,-121.9166,296.49,65,0,5.66,1653079683
2156643,Mount Gambier,-37.8333,140.7667,277.1,100,14,0.0,1653079683
2294915,Takoradze,4.8845,-1.7554,299.42,84,100,5.17,1653079684
4031574,Provideniya,64.3833,-173.3,281.66,56,19,4.69,1653079684
5920381,Chase,50.8165,-119.6857,289.64,60,98,1.73,1653079685
499811,Ryzdvyany,45.2656,41.8389,283.54,88,77,7.16,1653079685
3420768,Qasigiannguit,68.8193,-51.1922,275.29,76,100,0.33,1653079685
2450173,Taoudenni,22.6783,-3.9836,311.08,7,100,4.34,1653079686
1328421,Pathein,16.7833,94.7333,298.77,88,100,5.71,1653079686
1254046,Tura,25.5198,90.2201,295.19,97,92,0.8,1653079687
1648082,Boyolangu,-8.1181,111.8935,296.95,91,100,0.96,1653079687
1688696,San Policarpo,12.1791,125.5072,300.13,81,100,3.62,1653079687
457912,Līgatne,57.2343,25.0406,284.96,96,100,1.34,1653079688
2331447,Maiduguri,11.8464,13.1603,307.02,12,19,3.15,1653079748
1788402,Xiongzhou,25.1167,114.3,293.07,93,100,1.44,1653079749
5713587,Bend,44.0582,-121.3153,288.42,31,0,2.57,1653079465
473788,Vichuga,57.2128,41.9301,273.96,84,5,2.75,1653079749
2412408,Nioro,13.35,-15.75,301.16,53,28,6.37,1653079749
3139597,Sistranda,63.7256,8.834,286.13,86,100,6.82,1653079750
1788852,Xining,36.6167,101.7667,284.33,74,100,0.71,1653079750
1268814,Joshīmath,30.5667,79.5667,287.84,53,6,3.74,1653079751
2121025,Srednekolymsk,67.45,153.6833,284.95,51,52,6.29,1653079751
3397967,Itaituba,-4.2761,-55.9836,305.24,48,20,2.06,1653079752
6087892,Niagara Falls,43.1001,-79.0663,297.64,74,100,10.29,1653079513
5110365,Broome,42.2506,-75.833,299.36,50,20,6.69,1653079752
1649150,Bengkulu,-3.8004,102.2655,297.55,87,82,1.76,1653079753
3893726,Constitución,-35.3333,-72.4167,286.77,76,0,2.83,1653079753
2122605,Okhotsk,59.3833,143.3,275.16,87,99,0.5,1653079753
2176639,Batemans Bay,-35.7167,150.1833,286.54,87,98,2.2,1653079754
1529651,Altay,47.8667,88.1167,287.62,54,5,3.36,1653079754
652977,Keuruu,62.2667,24.7,282.25,61,67,2.19,1653079755
2178753,Kirakira,-10.4544,161.9205,300.44,80,24,1.53,1653079755
1835848,Seoul,37.5683,126.9778,288.91,91,75,1.03,1653079312
1337610,Thinadhoo,0.5333,72.9333,301.65,73,73,4.32,1653079756
161616,Balkanabat,39.5108,54.3671,294.01,52,95,6.66,1653079756
3423146,Ilulissat,69.2167,-51.1,275.16,75,75,4.12,1653079455
3430863,Mar del Plata,-38.0023,-57.5575,288.68,65,0,5.14,1653079757
1528998,Yumen,40.2833,97.2,290.51,27,2,3.81,1653079757
1516589,Zhezkazgan,47.8043,67.7144,290.46,34,62,3.61,1653079758
3440777,Rocha,-34.4833,-54.3333,284.32,72,18,2.48,1653079758
2248777,Marsassoum,12.8275,-15.9806,301.2,60,14,5.92,1653079759
2121385,Severo-Kuril'sk,50.6789,156.125,279.46,89,100,4.06,1653079759
2028164,Deputatsky,69.3,139.9,271.74,98,100,0.52,1653079760
6170031,Tuktoyaktuk,69.4541,-133.0374,278.15,65,100,2.06,1653079760
3939761,Hualmay,-11.0964,-77.6139,293.15,81,42,4.79,1653079760
3445026,Vila Velha,-20.3297,-40.2925,296.12,60,0,5.66,1653079644
3354077,Opuwo,-18.0607,13.84,286.3,29,0,1.97,1653079761
6559559,Horishni Plavni,49.0097,33.6455,286.85,79,100,3.57,1653079761
2122104,Petropavlovsk-Kamchatskiy,53.0452,158.6483,276.48,100,100,2.0,1653079469
2240449,Luanda,-8.8368,13.2343,296.15,83,75,4.63,1653079636
88533,Awjilah,29.1081,21.2869,294.41,31,0,9.16,1653079762
57000,Hobyo,5.3505,48.5268,299.57,85,87,12.04,1653079762
3466704,Castro,-24.7911,-50.0119,282.42,74,0,1.75,1653079763
